year,nuts_id,nuts_year_spec,viava
2010,UKG3,2010,99727890
2010,UKH1,2010,82547584
2010,UKH2,2010,62867437
2010,UKH3,2010,77209343
2010,UKI1,2010,30668917
2010,UKI2,2010,45497643
2010,UKJ1,2010,42899856
2010,UKJ2,2010,95923515
2010,UKJ3,2010,84311201
2010,UKJ4,2010,61207957
2010,UKK1,2010,76106814
2010,UKK2,2010,82550359
2010,UKK3,2010,58226923
2010,UKK4,2010,53196282
2010,UKL1,2010,23216682
2010,UKL2,2010,25408833
2010,UKM2,2010,22904533
2010,UKM3,2010,37714222
2010,UKM5,2010,63815515
2010,UKM6,2010,83937245
2010,UKN0,2010,52071169
2011,UKC1,2010,80175371
2011,UKC2,2010,95967646
2011,UKD1,2010,89575027
2011,UKD3,2010,5378217
2011,UKD4,2010,44930647
2011,UKD6,2010,5002286
2011,UKD7,2010,70334941
2011,UKE1,2010,75966205
2011,UKE2,2010,6949233
2011,UKE3,2010,67935336
2011,UKE4,2010,83503157
2011,UKF1,2010,23327496
2011,UKF2,2010,52155342
2011,UKF3,2010,98798266
2011,UKG1,2010,96279361
2011,UKG2,2010,79519908
2011,UKG3,2010,18545154
2011,UKH1,2010,64226610
2011,UKH2,2010,17746196
2011,UKH3,2010,88769625
2011,UKI1,2010,50831575
2011,UKI2,2010,97977152
2011,UKJ1,2010,43560541
2011,UKJ2,2010,64691381
2011,UKJ3,2010,59560138
2011,UKJ4,2010,38220503
2011,UKK1,2010,78480537
2011,UKK2,2010,16523937
2011,UKK3,2010,68071391
2011,UKK4,2010,65388175
2011,UKL1,2010,66596649
2011,UKL2,2010,91900583
2011,UKM2,2010,60201378
2011,UKM3,2010,9500481
2011,UKM5,2010,35421814
2011,UKM6,2010,12244511
2011,UKN0,2010,7947436
2012,UKC1,2010,94094355
2012,UKC2,2010,63556514
2012,UKD1,2010,79899136
2012,UKD3,2010,53494424
2012,UKD4,2010,36564102
2012,UKD6,2010,51432863
2012,UKD7,2010,42776230
2012,UKE1,2010,23135352
2012,UKE2,2010,39632356
2012,UKE3,2010,29115687
2012,UKE4,2010,26781391
2012,UKF1,2010,26692487
2012,UKF2,2010,29552617
2012,UKF3,2010,50651827
2012,UKG1,2010,87236753
2012,UKG2,2010,15172477
2012,UKG3,2010,3520642
2012,UKH1,2010,25988297
2012,UKH2,2010,82006232
2012,UKH3,2010,83327318
2012,UKI1,2010,1758281
2012,UKI2,2010,26611861
2012,UKJ1,2010,90192393
2012,UKJ2,2010,91348802
2012,UKJ3,2010,27777423
2012,UKJ4,2010,71420853
2012,UKK1,2010,9335641
2012,UKK2,2010,11328240
2012,UKK3,2010,26399646
2012,UKK4,2010,54780146
2012,UKL1,2010,21596266
2012,UKL2,2010,27293884
2012,UKM2,2010,26197849
2012,UKM3,2010,42958633
2012,UKM5,2010,88472149
2012,UKM6,2010,13444429
2012,UKN0,2010,95422192
